id,title,description,category,difficulty,duration,topics,prerequisites,url
1,"Introduction to Machine Learning","Learn the fundamentals of machine learning including supervised and unsupervised learning, regression, classification, and clustering algorithms.","Machine Learning","Beginner","4 weeks","Supervised Learning|Unsupervised Learning|Linear Regression|Logistic Regression|K-Means","Basic Python|Statistics Fundamentals","https://www.coursera.org/learn/machine-learning"
2,"Deep Learning Specialization","Master deep neural networks, CNNs, RNNs, and transformers. Build and train models for computer vision, NLP, and sequence modeling.","Deep Learning","Intermediate","16 weeks","Neural Networks|CNNs|RNNs|Transformers|Attention Mechanisms","Machine Learning Basics|Python|Linear Algebra","https://www.deeplearning.ai/courses/deep-learning-specialization/"
3,"Natural Language Processing with Transformers","Deep dive into NLP using state-of-the-art transformer models including BERT, GPT, and T5 for text classification, generation, and understanding.","NLP","Advanced","8 weeks","BERT|GPT|T5|Text Classification|Text Generation|Named Entity Recognition","Deep Learning|Python|PyTorch or TensorFlow","https://huggingface.co/course/chapter1"
4,"Computer Vision Fundamentals","Learn image processing, object detection, segmentation, and recognition using CNNs and modern architectures like ResNet and YOLO.","Computer Vision","Intermediate","6 weeks","Image Processing|Object Detection|Segmentation|CNNs|ResNet|YOLO","Python|Basic Machine Learning|NumPy","https://www.udacity.com/course/computer-vision-nanodegree--nd891"
5,"Reinforcement Learning","Master reinforcement learning algorithms including Q-Learning, Policy Gradients, Actor-Critic methods, and Deep RL applications.","Reinforcement Learning","Advanced","10 weeks","Q-Learning|Policy Gradients|Actor-Critic|DQN|PPO|A3C","Deep Learning|Python|Probability Theory","https://www.coursera.org/specializations/reinforcement-learning"
6,"MLOps: Machine Learning Operations","Learn to deploy, monitor, and maintain ML models in production. Cover CI/CD for ML, model versioning, and MLOps best practices.","MLOps","Intermediate","5 weeks","Model Deployment|CI/CD|Model Monitoring|MLflow|Docker|Kubernetes","Machine Learning|Python|Basic DevOps","https://www.coursera.org/learn/machine-learning-engineering-for-production-mlops"
7,"Python for Data Science and AI","Master Python programming for data science including NumPy, Pandas, Matplotlib, and Scikit-learn for data analysis and ML.","Programming","Beginner","6 weeks","Python|NumPy|Pandas|Matplotlib|Scikit-learn|Data Analysis","Basic Programming Concepts","https://www.edx.org/course/python-for-data-science"
8,"Generative AI and Large Language Models","Explore generative AI, fine-tuning LLMs, prompt engineering, RAG systems, and building AI applications with GPT and other models.","Generative AI","Advanced","8 weeks","LLMs|GPT|Fine-tuning|Prompt Engineering|RAG|Vector Databases","Deep Learning|NLP Basics|Python","https://www.deeplearning.ai/short-courses/chatgpt-prompt-engineering-for-developers/"
9,"Mathematics for Machine Learning","Build strong mathematical foundations covering linear algebra, calculus, probability, and statistics essential for ML.","Mathematics","Beginner","12 weeks","Linear Algebra|Calculus|Probability|Statistics|Optimization","High School Mathematics","https://www.coursera.org/specializations/mathematics-machine-learning"
10,"TensorFlow Developer Certificate","Comprehensive TensorFlow training covering neural networks, CNNs, NLP, and time series with hands-on projects.","Deep Learning","Intermediate","8 weeks","TensorFlow|Keras|Neural Networks|CNNs|RNNs|Time Series","Python|Machine Learning Basics","https://www.tensorflow.org/certificate"
11,"PyTorch for Deep Learning","Master PyTorch framework for building and training deep learning models with dynamic computation graphs.","Deep Learning","Intermediate","6 weeks","PyTorch|Autograd|Neural Networks|Transfer Learning|Model Optimization","Python|Deep Learning Basics","https://pytorch.org/tutorials/"
12,"AI Ethics and Responsible AI","Understand ethical considerations in AI development including bias, fairness, transparency, and privacy in ML systems.","AI Ethics","Beginner","3 weeks","AI Ethics|Bias|Fairness|Privacy|Explainability|Responsible AI","Basic AI Understanding","https://www.coursera.org/learn/ai-ethics"
